Image_Path,Label
real_images/0.jpg,0
real_images/02a742mtxr5a1.jpg,0
real_images/030n36l2896a1.jpg,0
real_images/03gday5xd16a1.jpg,0
real_images/06zwn256mz5a1.jpg,0
real_images/07p1r87ht96a1.jpg,0
real_images/0834juqsrr5a1.jpg,0
real_images/08hv292nwp5a1.png,0
real_images/09zvo5wiiw5a1.jpg,0
real_images/0cd5khj3wo5a1.jpg,0
real_images/0egyo2c9ck5a1.png,0
real_images/0epkg3nbob6a1.jpg,0
real_images/0f92fo55kq5a1.jpg,0
real_images/0g37gi3ajx5a1.jpg,0
real_images/0he6nfxcs36a1.jpg,0
real_images/0hi3ftnk8k5a1.png,0
real_images/0hkz5gi5rk5a1.jpg,0
real_images/0ik8aj3iqu5a1.jpg,0
real_images/0jscakciaw5a1.jpg,0
real_images/0l75tvuqh76a1.jpg,0
real_images/0MPnzcc.jpg,0
real_images/0n665ufkyu5a1.jpg,0
real_images/0rbkqqmh2k5a1.jpg,0
real_images/0tr4b9862b6a1.png,0
real_images/0uqpnep6pc6a1.jpg,0
real_images/0vjo25cq8x5a1.jpg,0
real_images/0wlfdwy3hd6a1.jpg,0
real_images/0xz3tp2a536a1.jpg,0
real_images/0zpn9hu4ex5a1.jpg,0
real_images/1.jpg,0
real_images/10.jpg,0
real_images/100.jpg,0
real_images/1000.jpg,0
real_images/1001.jpg,0
real_images/1002.jpg,0
real_images/1003.jpg,0
real_images/1004.jpg,0
real_images/1005.jpg,0
real_images/1006.jpg,0
real_images/1007.jpg,0
real_images/1008.jpg,0
real_images/1009.jpg,0
real_images/101.jpg,0
real_images/1010.jpg,0
real_images/1011.jpg,0
real_images/1012.jpg,0
real_images/1013.jpg,0
real_images/1014.jpg,0
real_images/1015.jpg,0
real_images/1016.jpg,0
real_images/1017.jpg,0
real_images/1018.jpg,0
real_images/1019.jpg,0
real_images/102.jpg,0
real_images/1020.jpg,0
real_images/1021.jpg,0
real_images/1022.jpg,0
real_images/1023.jpg,0
real_images/1024.jpg,0
real_images/1025.jpg,0
real_images/1026.jpg,0
real_images/1027.jpg,0
real_images/1028.jpg,0
real_images/1029.jpg,0
real_images/103.jpg,0
real_images/1030.jpg,0
real_images/1031.jpg,0
real_images/1032.jpg,0
real_images/1033.jpg,0
real_images/1034.jpg,0
real_images/1035.jpg,0
real_images/1036.jpg,0
real_images/1037.jpg,0
